,cabin,cabinReduced,sex,cabin_map,cabinReduced_map,sex_map
501,,n,female,0,0,0
588,,n,female,0,0,0
402,,n,female,0,0,0
1193,,n,male,0,0,1
686,,n,female,0,0,0
971,,n,male,0,0,1
117,E36,E,female,64,2,0
540,,n,female,0,0,0
294,C68,C,male,157,1,1
261,E24,E,male,30,2,1
587,,n,male,0,0,1
489,,n,female,0,0,0
2,C22 C26,C,female,1,1,0
405,,n,male,0,0,1
1284,,n,male,0,0,1
338,,n,male,0,0,1
356,,n,male,0,0,1
985,,n,male,0,0,1
182,,n,female,0,0,0
1027,,n,male,0,0,1
1023,,n,female,0,0,0
657,,n,female,0,0,0
891,,n,male,0,0,1
716,,n,male,0,0,1
1142,,n,male,0,0,1
520,D38,D,male,176,3,1
1267,,n,female,0,0,0
395,,n,female,0,0,0
905,,n,male,0,0,1
278,B50,B,male,149,5,1
239,A24,A,male,134,4,1
1254,,n,male,0,0,1
1084,,n,male,0,0,1
110,C111,C,male,62,1,1
1255,,n,male,0,0,1
1306,,n,male,0,0,1
822,,n,male,0,0,1
1114,,n,male,0,0,1
1110,,n,male,0,0,1
1048,,n,female,0,0,0
1034,,n,male,0,0,1
568,F,F,male,177,7,1
615,,n,male,0,0,1
840,,n,female,0,0,0
367,,n,male,0,0,1
655,,n,male,0,0,1
1295,,n,male,0,0,1
384,,n,male,0,0,1
200,C6,C,male,12,1,1
279,C87,C,male,150,1,1
65,E8,E,female,35,2,0
481,,n,female,0,0,0
619,,n,male,0,0,1
892,,n,male,0,0,1
272,B45,B,female,146,5,0
1137,,n,male,0,0,1
581,,n,male,0,0,1
165,C93,C,male,94,1,1
761,,n,male,0,0,1
998,,n,male,0,0,1
592,,n,male,0,0,1
947,,n,female,0,0,0
997,,n,female,0,0,0
1174,,n,female,0,0,0
921,,n,male,0,0,1
1281,,n,male,0,0,1
188,D28,D,female,106,3,0
40,,n,male,0,0,1
783,,n,male,0,0,1
824,,n,male,0,0,1
724,,n,male,0,0,1
1036,,n,female,0,0,0
316,,n,male,0,0,1
214,D36,D,female,119,3,0
1129,,n,male,0,0,1
1203,,n,male,0,0,1
644,,n,male,0,0,1
362,,n,female,0,0,0
1205,,n,female,0,0,0
260,C125,C,female,79,1,0
19,C6,C,male,12,1,1
255,B35,B,female,8,5,0
30,T,T,male,19,6,1
1273,,n,female,0,0,0
687,,n,female,0,0,0
230,B73,B,female,129,5,0
464,,n,male,0,0,1
1156,,n,female,0,0,0
674,,n,male,0,0,1
253,B57 B59 B63 B66,B,female,138,5,0
1271,,n,male,0,0,1
1039,,n,female,0,0,0
629,,n,male,0,0,1
731,,n,male,0,0,1
1232,,n,male,0,0,1
553,,n,female,0,0,0
264,A26,A,male,141,4,1
363,,n,male,0,0,1
1181,,n,male,0,0,1
101,A18,A,male,55,4,1
981,,n,male,0,0,1
877,,n,female,0,0,0
764,,n,male,0,0,1
1105,,n,male,0,0,1
922,,n,female,0,0,0
315,,n,female,0,0,0
780,,n,female,0,0,0
982,,n,male,0,0,1
993,,n,female,0,0,0
1268,,n,male,0,0,1
54,B96 B98,B,male,32,5,1
748,,n,male,0,0,1
974,,n,male,0,0,1
1178,,n,male,0,0,1
487,,n,male,0,0,1
775,,n,male,0,0,1
471,,n,female,0,0,0
1188,G6,G,female,185,8,0
975,,n,female,0,0,0
495,,n,male,0,0,1
754,,n,male,0,0,1
787,,n,male,0,0,1
1079,,n,female,0,0,0
940,,n,male,0,0,1
366,,n,male,0,0,1
784,,n,male,0,0,1
901,,n,female,0,0,0
930,,n,male,0,0,1
206,C78,C,male,116,1,1
79,C101,C,female,5,1,0
190,D9,D,female,108,3,0
492,,n,male,0,0,1
926,,n,male,0,0,1
145,D33,D,male,83,3,1
318,C128,C,male,167,1,1
654,,n,male,0,0,1
457,,n,male,0,0,1
144,E50,E,female,82,2,0
864,,n,female,0,0,0
912,,n,male,0,0,1
546,,n,female,0,0,0
634,,n,male,0,0,1
983,,n,male,0,0,1
83,B26,B,female,46,5,0
154,B69,B,male,88,5,1
801,,n,male,0,0,1
1026,E121,E,female,182,2,0
1190,,n,male,0,0,1
127,C123,C,female,70,1,0
1293,,n,male,0,0,1
403,,n,male,0,0,1
150,B94,B,male,85,5,1
712,,n,male,0,0,1
413,,n,male,0,0,1
711,,n,male,0,0,1
1227,,n,female,0,0,0
1069,,n,male,0,0,1
729,,n,male,0,0,1
999,,n,female,0,0,0
1056,,n,male,0,0,1
352,,n,female,0,0,0
95,A34,A,female,51,4,0
37,,n,male,0,0,1
485,D,D,male,169,3,1
143,E50,E,male,82,2,1
662,,n,male,0,0,1
158,C39,C,male,91,1,1
552,,n,male,0,0,1
652,,n,male,0,0,1
953,,n,male,0,0,1
867,,n,female,0,0,0
728,,n,male,0,0,1
236,,n,male,0,0,1
222,D43,D,male,125,3,1
1147,,n,female,0,0,0
950,,n,male,0,0,1
752,,n,male,0,0,1
704,,n,male,0,0,1
578,,n,male,0,0,1
62,E31,E,male,34,2,1
193,B5,B,female,6,5,0
235,,n,male,0,0,1
181,D17,D,female,104,3,0
713,,n,male,0,0,1
521,F33,F,female,172,7,0
661,,n,female,0,0,0
943,,n,female,0,0,0
583,,n,female,0,0,0
382,,n,female,0,0,0
1246,,n,male,0,0,1
1212,,n,male,0,0,1
331,,n,male,0,0,1
262,E44,E,male,140,2,1
6,D7,D,female,3,3,0
266,,n,male,0,0,1
38,A21,A,male,25,4,1
1269,,n,male,0,0,1
545,,n,female,0,0,0
118,D34,D,male,65,3,1
621,,n,female,0,0,0
105,A29,A,female,59,4,0
1064,,n,male,0,0,1
484,F33,F,female,172,7,0
899,,n,female,0,0,0
20,D35,D,male,13,3,1
242,A11,A,female,136,4,0
50,B51 B53 B55,B,female,31,5,0
162,,n,male,0,0,1
830,,n,male,0,0,1
746,,n,male,0,0,1
848,,n,male,0,0,1
301,D46,D,male,161,3,1
172,E60,E,male,98,2,1
884,,n,male,0,0,1
1132,,n,male,0,0,1
1296,,n,male,0,0,1
667,,n,female,0,0,0
907,,n,female,0,0,0
1231,G6,G,female,185,8,0
210,C30,C,male,117,1,1
344,,n,female,0,0,0
306,D26,D,male,163,3,1
217,,n,male,0,0,1
1283,,n,male,0,0,1
289,E68,E,female,154,2,0
378,,n,male,0,0,1
167,C93,C,female,94,1,0
421,,n,male,0,0,1
980,,n,female,0,0,0
616,,n,male,0,0,1
12,B35,B,female,8,5,0
522,,n,male,0,0,1
1009,,n,male,0,0,1
68,A9,A,male,38,4,1
90,B71,B,female,49,5,0
959,,n,male,0,0,1
380,F33,F,female,172,7,0
372,,n,male,0,0,1
258,,n,female,0,0,0
737,,n,male,0,0,1
304,D37,D,female,162,3,0
1170,,n,male,0,0,1
410,,n,male,0,0,1
1264,,n,male,0,0,1
665,,n,female,0,0,0
42,C101,C,female,5,1,0
208,C78,C,female,116,1,0
1160,,n,male,0,0,1
751,,n,male,0,0,1
1001,,n,female,0,0,0
596,,n,male,0,0,1
1162,,n,male,0,0,1
515,F2,F,male,175,7,1
285,C55 C57,C,male,152,1,1
1021,,n,male,0,0,1
71,C89,C,male,39,1,1
561,,n,male,0,0,1
179,C124,C,male,103,1,1
1230,G6,G,female,185,8,0
1223,,n,female,0,0,0
493,,n,male,0,0,1
116,C23 C25 C27,C,female,63,1,0
293,C126,C,female,156,1,0
76,E49,E,female,42,2,0
48,,n,female,0,0,0
689,,n,male,0,0,1
1195,,n,male,0,0,1
1182,,n,female,0,0,0
332,,n,male,0,0,1
576,,n,male,0,0,1
622,,n,male,0,0,1
564,,n,female,0,0,0
1138,,n,male,0,0,1
766,,n,male,0,0,1
409,,n,male,0,0,1
994,F E46,F,male,180,7,1
1301,,n,male,0,0,1
834,,n,male,0,0,1
288,D17,D,female,104,3,0
630,,n,male,0,0,1
524,,n,male,0,0,1
157,E46,E,male,90,2,1
337,,n,female,0,0,0
1234,,n,male,0,0,1
496,,n,male,0,0,1
46,,n,male,0,0,1
869,,n,male,0,0,1
462,,n,male,0,0,1
1151,,n,female,0,0,0
829,,n,female,0,0,0
439,,n,male,0,0,1
177,D19,D,male,102,3,1
992,,n,female,0,0,0
1054,,n,female,0,0,0
424,,n,male,0,0,1
325,,n,male,0,0,1
902,,n,male,0,0,1
664,,n,male,0,0,1
350,,n,female,0,0,0
447,,n,male,0,0,1
17,B58 B60,B,female,10,5,0
1111,,n,male,0,0,1
758,,n,male,0,0,1
1218,,n,male,0,0,1
345,,n,male,0,0,1
866,,n,female,0,0,0
313,C82,C,male,166,1,1
757,,n,female,0,0,0
451,,n,male,0,0,1
170,B52 B54 B56,B,male,97,5,1
699,,n,male,0,0,1
1307,,n,male,0,0,1
133,C92,C,male,74,1,1
1108,,n,male,0,0,1
1045,,n,male,0,0,1
78,E45,E,female,44,2,0
1024,F G73,F,male,181,7,1
346,,n,male,0,0,1
396,,n,female,0,0,0
1070,,n,male,0,0,1
389,,n,male,0,0,1
385,,n,male,0,0,1
744,,n,male,0,0,1
119,,n,male,0,0,1
1210,,n,male,0,0,1
966,,n,female,0,0,0
229,C65,C,female,128,1,0
1109,,n,male,0,0,1
21,D35,D,female,13,3,0
1173,,n,female,0,0,0
935,,n,male,0,0,1
250,B57 B59 B63 B66,B,female,138,5,0
243,,n,male,0,0,1
920,,n,male,0,0,1
35,,n,female,0,0,0
593,,n,female,0,0,0
671,,n,male,0,0,1
507,,n,male,0,0,1
937,,n,female,0,0,0
771,,n,female,0,0,0
1059,,n,male,0,0,1
109,E25,E,male,61,2,1
963,,n,male,0,0,1
379,,n,female,0,0,0
614,,n,male,0,0,1
604,,n,female,0,0,0
627,,n,female,0,0,0
660,,n,female,0,0,0
582,,n,female,0,0,0
723,,n,male,0,0,1
171,,n,male,0,0,1
